frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
36,22.567,0,9.9089,75.5445,-20.0446,-6.3998,9.3769,111.594,75.5445,30.7724,0,-1.7505,76.5224,-21.5487,-3.9282,11.5262,111.594,76.5224,
37,22.3308,0,9.8658,76.4292,-19.5559,-6.635,8.7365,111.594,76.4292,31.4363,0,-1.3365,76.6057,-21.7424,-4.1146,11.3221,111.594,76.6057,
38,22.2623,0,9.7143,76.7795,-18.641,-6.2098,7.3998,111.594,76.7795,31.1948,0,-1.8528,76.5884,-21.7914,-3.4869,11.5284,111.594,76.5884,
39,21.9909,0,9.4473,76.9934,-18.4474,-6.1686,6.5611,111.594,76.9934,30.1993,0,-1.6454,76.7947,-21.4259,-3.2357,11.4496,111.594,76.7947,
40,21.4366,0,9.5289,77.2706,-18.2056,-7.0638,7.0714,111.594,77.2706,29.4807,0,0.2088,77.1308,-20.6079,-4.1037,10.517,111.594,77.1308,
41,21.3461,0,9.7964,77.254,-17.943,-7.8986,7.7717,111.594,77.254,29.4294,0,1.2981,77.0357,-20.3568,-5.1283,9.4837,111.594,77.0357,
42,21.6929,0,9.887,76.8116,-18.5174,-8.0981,7.6151,111.594,76.8116,29.3437,0,1.5383,76.3533,-20.9687,-5.4592,8.806,111.594,76.3533,
43,21.7059,0,9.9118,76.4122,-19.4123,-8.6859,7.0571,111.594,76.4122,29.2767,0,2.4221,75.774,-21.5177,-5.7258,8.1131,111.594,75.774,
44,21.2868,0,9.9604,53.2633,-20.1263,-9.3319,6.6244,111.594,53.2633,29.6211,0,3.3408,53.2633,-21.7097,-6.4553,7.3769,111.594,53.2633,
45,20.6847,0,9.9955,53.2633,-21.2175,-9.1883,6.0291,111.594,53.2633,29.7934,0,3.8836,53.2633,-21.8712,-6.9869,6.7523,111.594,53.2633,
46,20.0133,0,9.8843,53.2633,-21.7738,-8.913,5.9108,111.594,53.2633,29.6362,0,4.4428,53.2633,-21.898,-7.083,6.4021,111.594,53.2633,
47,19.7636,0,9.5524,53.9157,-21.1298,-8.7351,6.6457,111.594,53.9157,29.5802,0,4.8456,53.5686,-21.9329,-7.3282,6.4518,111.594,53.5686,
48,19.8898,0,9.2968,56.8933,-20.5844,-8.5243,7.2638,111.594,56.8933,29.4594,0,5.2477,55.3511,-22.1767,-7.6677,6.5628,111.594,55.3511,
49,20.0131,0,9.3663,61.7954,-20.966,-8.5442,7.6903,111.594,61.7954,29.1019,0,5.6852,58.6603,-22.6286,-7.6296,6.6961,111.594,58.6603,
50,20.2263,0,9.3139,65.2762,-21.9345,-9.1286,8.6244,111.594,65.2762,29.0316,0,5.7669,60.9505,-23.0238,-7.4908,7.1477,111.594,60.9505,
51,20.481,0,9.0583,66.4116,-22.7354,-9.9773,9.6475,111.594,66.4116,29.2115,0,5.7434,61.5953,-23.0676,-7.5365,7.6949,111.594,61.5953,
52,20.4654,0,9.1088,66.5864,-23.0438,-10.194,10.1121,111.594,66.5864,29.2146,0,5.7348,62.4535,-23.0191,-7.598,8.0995,111.594,62.4535,
53,20.479,0,9.3559,66.898,-23.2554,-10.3093,10.1543,111.594,66.898,29.1537,0,5.7301,63.9609,-23.2047,-7.5915,8.364,111.594,63.9609,
54,20.8838,0,9.6062,67.6367,-23.5467,-10.9759,10.0687,111.594,67.6367,29.3174,0,5.5756,65.4023,-23.5347,-7.3572,8.4424,111.594,65.4023,
55,21.4918,0,9.6072,67.6748,-23.5399,-11.1018,9.9742,111.594,67.6748,29.7641,0,5.143,66.5316,-23.4566,-6.8264,8.2025,111.594,66.5316,
56,22.5055,0,8.9397,67.6324,-23.099,-10.5196,9.8978,111.594,67.6324,30.2435,0,4.979,67.5944,-22.81,-6.3148,7.6864,111.594,67.5944,
57,23.5761,0,8.093,69.0484,-22.6957,-10.2382,9.8972,111.594,69.0484,30.4582,0,5.3157,68.6849,-22.2447,-6.2726,7.4714,111.594,68.6849,
