frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
32,-27.3512,-88.4965,24.015,95.0054,132.998,-15.2983,10.0593,7.1686,132.998,-9.5505,79.7849,-35.33,94.1508,83.8688,-14.181,-4.5283,-4.5775,83.8688,
33,-35.8629,-91.1431,22.1545,92.9183,131.418,-14.3488,9.6394,7.1745,131.418,-10.2093,77.7879,-36.1879,92.7716,83.9013,-9.2669,-3.6624,-4.5348,83.9013,
34,-39.0482,-89.4766,22.7188,91.9743,126.279,-13.4579,9.519,7.1641,126.279,-12.2663,73.8607,-34.9059,92.2875,82.8438,-8.1532,-3.6494,-4.6792,82.8438,
35,-43.5946,-91.2401,27.2738,91.5905,120.377,-12.5532,9.7571,7.0924,120.377,-14.5294,71.1586,-33.4372,92.0364,81.2464,-9.5881,-4.1149,-4.8406,81.2464,
36,-48.1036,-96.7711,29.7074,92.0184,116.276,-12.0261,10.048,7.0649,116.276,-15.7378,69.6687,-33.6187,91.9999,80.3995,-10.9541,-4.3356,-4.8999,80.3995,
37,-48.2558,-96.6102,28.3952,94.3651,115.482,-11.8349,10.0552,7.0892,115.482,-14.8876,69.4265,-33.5864,91.7854,80.6681,-11.4824,-4.073,-4.8961,80.6681,
38,-48.5268,-94.3521,27.8986,97.1448,116.462,-11.3893,9.0893,7.0643,116.462,-13.246,70.5919,-32.5004,90.803,81.6879,-11.6008,-3.7535,-4.8972,81.6879,
39,-50.7146,-94.0337,27.6177,98.52,116.782,-11.0818,7.8927,7.0098,116.782,-14.1445,71.3605,-33.2295,88.4184,82.6456,-11.71,-3.8286,-4.9011,82.6456,
40,-54.1674,-95.1582,26.0062,98.808,117.13,-11.2492,7.3123,6.9941,117.13,-17.0434,71.6805,-35.8736,84.861,83.1644,-11.9002,-4.1824,-4.8992,83.1644,
41,-59.9292,-99.1087,25.5953,99.0675,118.199,-11.3067,6.1145,6.9972,118.199,-19.1184,73.552,-38.0118,81.8708,83.3386,-12.171,-4.5175,-4.8977,83.3386,
42,-65.7663,-103.811,26.2359,99.4805,120.101,-11.0697,4.6253,6.9966,120.101,-20.272,75.5621,-39.1941,80.7654,83.3341,-12.4908,-4.5675,-4.8906,83.3341,
