frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
30,-16.3545,-86.7118,34.6354,61.7264,95.0424,-13.6857,5.7082,5.9997,95.0424,-25.7683,51.3915,-22.726,37.3603,63.502,-11.7174,-4.6536,-4.4022,63.502,
31,-20.8735,-85.8498,34.5257,79.8762,96.9806,-14.8642,8.1286,6.6324,96.9806,-33.0259,62.5632,-22.9449,37.691,76.2791,-17.4809,-6.1341,-4.714,76.2791,
32,-21.4278,-83.0644,28.4617,95.109,92.7169,-15.6355,9.6296,7.0664,92.7169,-33.7788,69.3843,-23.9775,51.8424,83.4854,-17.6781,-5.8695,-4.8753,83.4854,
33,-17.5551,-80.0345,25.5576,85.9174,87.1397,-14.3167,9.1601,6.4818,87.1397,-24.9518,66.7842,-19.9287,64.9406,75.5709,-14.509,-4.6926,-4.6533,75.5709,
34,-15.5944,-79.6237,25.9984,68.4339,86.0206,-9.448,6.329,4.5996,86.0206,-17.0963,57.053,-12.0739,76.676,60.216,-12.2774,-3.8959,-3.959,60.216,
35,-13.2705,-75.9321,21.4354,68.4345,80.2166,-5.5647,3.6628,2.8721,80.2166,-13.898,51.2583,-6.9141,82.9338,51.8249,-11.9842,-3.6826,-3.3236,51.8249,
36,-10.1977,-71.9165,16.8655,78.4808,73.9918,-5.2013,2.6898,2.1565,73.9918,-12.2719,49.874,-6.2487,83.2725,49.9589,-12.5416,-3.7441,-3.0893,49.9589,
37,-11.9137,-70.8626,17.0773,84.7006,73.6525,-4.9676,2.7274,2.1038,73.6525,-14.426,46.232,-9.0775,83.6884,47.9504,-12.9274,-3.8421,-3.0983,47.9504,
38,-15.2629,-68.0439,17.1612,90.6153,72.1758,-3.9682,2.9846,2.2987,72.1758,-18.8744,43.9266,-12.8202,85.275,48.6306,-12.9415,-3.8979,-3.1691,48.6306,
39,-17.0463,-63.6641,16.7203,96.9258,68.4892,-3.4045,3.1351,2.4408,68.4892,-22.2428,48.324,-16.0984,85.0526,55.4755,-12.839,-3.9042,-3.2121,55.4755,
40,-20.1228,-60.2052,16.3023,99.0799,66.0174,-3.2952,3.1666,2.6367,66.0174,-26.5212,53.6968,-20.7345,80.8312,64.5511,-11.8,-3.8708,-3.2326,64.5511,
41,-23.7345,-57.6137,16.0444,98.4819,64.5182,-3.3629,3.1499,2.896,64.5182,-32.5274,57.2502,-26.7114,73.6553,73.8399,-9.4959,-3.8182,-3.2522,73.8399,
42,-25.5284,-55,16.082,98.4191,62.597,-4.527,3.132,3.0102,62.597,-35.9171,60.6096,-30.0447,68.3091,80.48,-7.6324,-3.7728,-3.259,80.48,
43,-26.4054,-52.6186,14.7773,97.3779,59.8115,-7.6421,3.1249,3.0445,59.8115,-34.8665,62.0426,-29.875,65.9496,81.2077,-6.6187,-3.7362,-3.257,81.2077,
44,-27.0055,-51.7104,13.8812,95.8261,58.5572,-10.9663,3.1248,3.1432,58.5572,-34.4452,63.0085,-30.8732,62.2172,82.5746,-6.0005,-3.7017,-3.2694,82.5746,
45,-26.1612,-52.49,13.2166,95.7323,58.6897,-12.4703,3.1265,3.2531,58.6897,-37.9306,65.9886,-34.591,55.0036,89.2736,-5.7941,-3.661,-3.2898,89.2736,
46,-23.6783,-53.3226,10.5026,97.4312,57.3799,-12.6004,3.1275,3.29,57.3799,-41.0017,69.1646,-37.7258,47.7273,95.6484,-5.8421,-3.6517,-3.3019,95.6484,
