frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
10,26.1631,72.822,6.4423,0,114.739,63.3512,160.376,0,0,0,114.739,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,5.4661,1.0059,-0.3723,3.26219,27.4791,0,0,0,27.4791,0,-14.203,3.6481,6.5617,0,0,0,0,14.0707,96.6539,88.1527,48.9492,11.167,96.6539,49.7548,-39.0828,82.6351,-31.4625,49.7548,102.343,-7.4298,-3.6283,-3.4726,102.343,0,0,0,14.0707,96.6539,-4.3684,-3.1863,-62.3799,96.6539,52.8065,-33.9798,-31.8568,4.4366,52.8065,34.4036,-8.9889,2.9212,3.6188,34.4036,0,0,0,160.376,111.594,-5.6016,-16.7767,2.2817,111.594,58.84,5.1436,0.0081,1.5396,58.84,12.9925,-8.84,-0.0693,-4.5568,12.9925,0,0,0,63.3512,111.594,-53.6214,13.4835,9.7709,111.594,107.19,40.5538,-0.0102,1.4312,107.19,48.1603,-9.9813,0.0204,3.1501,48.1603,
11,24.7788,70.0666,6.7207,0,114.424,64.9144,157.612,0,0,0,114.424,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,5.8603,2.9547,-0.0002,3.26213,27.8588,0,0,0,27.8588,0,-19.6934,7.8606,4.3818,0,0,0,0,14.0707,96.6539,88.4705,48.0324,11.1203,96.6539,48.8783,-30.8676,73.383,-22.1845,48.8783,85.0203,-6.3978,-3.1238,-3.8083,85.0203,0,0,0,14.0707,96.6539,-2.6893,-3.9166,-62.5729,96.6539,53.0048,-31.1519,-26.0113,-1.6103,53.0048,24.4894,-8.4204,2.4284,4.4925,24.4894,0,0,0,157.612,111.594,-5.0662,-16.7193,1.9087,111.594,58.2969,4.9799,0.0046,1.4719,58.2969,12.8191,-8.7909,-0.0389,-4.5561,12.8191,0,0,0,64.9144,111.594,-51.4554,13.6919,9.7218,111.594,105.033,41.9431,-0.0057,-0.0132,105.033,49.564,-9.9806,0.0114,3.1535,49.564,
12,23.5312,66.7231,7.9647,0,114.038,66.928,154.263,0,0,0,114.038,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,6.5128,3.9688,-0.1712,3.26219,28.5108,0,0,0,28.5108,0,-24.9318,12.4262,3.5623,0,0,0,0,14.0707,96.6539,89.3853,47.0491,10.829,96.6539,47.8005,-23.7422,65.4195,-14.3535,47.8005,71.0058,-5.8307,-2.685,-4.1978,71.0058,0,0,0,14.0707,96.6539,-4.6258,-2.5043,-61.836,96.6539,52.4003,-34.6526,-21.0934,-4.952,52.4003,17.7255,-8.3506,2.1259,5.3741,17.7255,0,0,0,154.263,111.594,-3.1039,-15.0623,0.6183,111.594,56.3287,4.2089,0.0009,0.4808,56.3287,11.9058,-8.6946,-0.0075,-4.5562,11.9058,0,0,0,66.928,111.594,-48.1694,13.2466,9.5717,111.594,101.756,42.4388,-0.0011,-0.441,101.756,50.07,-9.979,0.0022,3.1512,50.07,
13,24.2387,63.719,10.573,0,114.399,69.0966,151.69,0,0,0,114.399,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.6662,3.8876,-0.7039,3.26225,28.6935,0,0,0,28.6935,0,-27.0444,13.7911,3.6078,0,0,0,0,14.0707,96.6539,80.7497,38.5451,18.9568,96.6539,46.2552,-19.7078,59.8256,-12.4713,46.2552,63.6944,-5.8151,-2.5608,-4.4583,63.6944,0,0,0,14.0707,96.6539,-10.0416,0.7623,-57.7433,96.6539,49.0784,-39.9459,-18.2242,-3.446,49.0784,15.7726,-8.4233,2.2675,5.8391,15.7726,0,0,0,151.69,111.594,-1.838,-12.7248,-1.1553,111.594,55.0862,2.803,-0.0006,-1.9455,55.0862,10.4645,-8.7202,0.0047,-4.5566,10.4645,0,0,0,69.0966,111.594,-47.114,12.6312,9.3371,111.594,100.691,44.1211,0.0007,1.5645,100.691,51.7263,-9.9794,-0.0014,3.1504,51.7263,
14,25.0147,61.1279,12.6029,0,114.988,71.1276,149.597,0,0,0,114.988,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.1068,3.8619,-0.8206,3.26225,28.1429,0,0,0,28.1429,0,-26.851,12.6661,2.8084,0,0,0,0,14.0707,96.6539,54.0528,17.3085,40.72,96.6539,44.6689,-17.2471,53.2886,-16.4008,44.6689,58.7702,-5.8138,-2.549,-4.4594,58.7702,0,0,0,14.0707,96.6539,-14.996,3.6095,-53.012,96.6539,45.6592,-42.2639,-15.5574,-0.5146,45.6592,15.3545,-8.6675,2.414,5.8574,15.3545,0,0,0,149.597,111.594,-1.9024,-11.7304,-3.1647,111.594,55.2171,2.2006,-0.0006,-4.2147,55.2171,10.344,-8.7415,0.0047,-4.5563,10.344,0,0,0,71.1276,111.594,-49.0137,9.9864,9.407,111.594,102.59,48.2471,0.0007,5.3653,102.59,55.9372,-9.9797,-0.0014,3.1522,55.9372,
15,24.5843,58.8347,13.3682,0,115.138,72.837,147.507,0,0,0,115.138,0.360994,0,0,0,0.360994,14.0707,3.26231,14.0707,5.441,4.1715,-0.4446,3.26231,27.4539,0,0,0,27.4539,0,-25.9292,11.605,1.5837,0,0,0,0,14.0707,96.6539,28.6623,-2.0637,60.821,96.6539,52.0135,-15.4705,47.5651,-21.0544,52.0135,55.5169,-5.5307,-2.4777,-4.1513,55.5169,0,0,0,14.0707,96.6539,-18.0616,4.7723,-50.3771,96.6539,43.7826,-44.9243,-12.0583,1.3968,43.7826,13.7095,-9.8473,2.2192,5.5106,13.7095,0,0,0,147.507,111.594,-1.3541,-12.2629,-4.9005,111.594,54.7648,1.6837,-0.0002,-3.9818,54.7648,9.78129,-8.703,0.0018,-4.5562,9.78129,0,0,0,72.837,111.594,-49.9182,6.0064,9.7484,111.594,103.516,50.5954,0.0003,8.722,103.516,58.4728,-9.9791,-0.0005,3.152,58.4728,
16,24.2771,56.7027,13.9918,0,115.409,74.5149,145.616,0,0,0,115.409,0.359365,0,0,0,0.359365,14.0707,3.26231,14.0707,4.9707,4.6752,-0.0585,3.26231,26.9595,0,0,0,26.9595,0,-25.0588,11.3375,0.5302,0,0,0,0,14.0707,96.6539,19.5046,-9.0005,67.5774,96.6539,58.2689,-15.5397,45.1679,-23.2085,58.2689,54.7376,-5.2213,-2.3898,-3.8283,54.7376,0,0,0,14.0707,96.6539,-19.7648,5.6089,-49.9356,96.6539,43.8876,-48.438,-9.1277,2.32,43.8876,11.9899,-11.2003,1.9274,5.1635,11.9899,0,0,0,145.616,111.594,-0.5417,-12.6547,-6.2865,111.594,54.0601,1.2189,0,-3.3091,54.0601,9.14486,-8.7,0,-4.5564,9.14486,0,0,0,74.5149,111.594,-48.947,3.7266,9.9865,111.594,102.566,49.2146,0,10.1871,102.566,57.2457,-9.9791,0,3.151,57.2457,
17,24.7832,54.4517,14.3131,0,116.403,76.5424,143.987,0,0,0,116.403,0.359365,0,0,0,0.359365,14.0707,3.26219,14.0707,4.6717,5.1319,0.5055,3.26219,26.6299,0,0,0,26.6299,0,-24.4173,11.1051,-0.6019,0,0,0,0,14.0707,96.6539,18.0108,-11.1975,68.1031,96.6539,58.9542,-15.9178,44.9927,-23.6118,58.9542,54.9736,-5.1337,-2.3508,-3.7032,54.9736,0,0,0,14.0707,96.6539,-21.3796,6.5022,-50.4127,96.6539,44.9431,-49.7298,-6.7025,1.5696,44.9431,9.11887,-11.6046,1.8008,5.0432,9.11887,0,0,0,143.987,111.594,-0.9735,-12.5252,-7.4999,111.594,54.6042,1.3745,0,-2.9133,54.6042,9.20234,-8.7204,-0.0004,-4.5564,9.20234,0,0,0,76.5424,111.594,-49.7461,2.2683,10.0521,111.594,103.363,48.2112,0,10.356,103.363,56.2806,-9.9794,0.0001,3.1516,56.2806,
18,25.4437,52.2611,14.0935,0,117.636,78.5672,142.563,0,0,0,117.636,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,4.5551,5.2065,0.8336,3.26225,26.5015,0,0,0,26.5015,0,-24.108,10.204,-1.4221,0,0,0,0,14.0707,96.6539,16.0789,-15.7348,70.2831,96.6539,61.5391,-14.7184,45.1828,-24.0349,61.5391,54.939,-5.2175,-2.3554,-3.7041,54.939,0,0,0,14.0707,96.6539,-11.2152,6.0709,-53.0662,96.6539,46.796,-48.4276,-3.8307,-0.9164,46.796,4.15737,-11.4248,1.8215,5.0788,4.15737,0,0,0,142.563,111.594,-1.6365,-12.7088,-8.3967,111.594,55.3588,1.1857,0,-1.8696,55.3588,8.84853,-8.7109,-0.0003,-4.5563,8.84853,0,0,0,78.5672,111.594,-51.0555,-0.7617,9.7057,111.594,104.636,47.4573,0,10.1758,104.636,55.5236,-9.9792,0,3.1519,55.5236,
19,25.4781,50.307,13.9307,0,118.291,80.1489,141.167,0,0,0,118.291,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,4.5149,4.5894,0.2042,3.26219,26.4926,0,0,0,26.4926,0,-23.8848,9.0582,-0.8697,0,0,0,0,14.0707,96.6539,15.1079,-19.4773,72.034,96.6539,63.7091,-15.3132,45.3685,-26.335,63.7091,56.7255,-5.2289,-2.3686,-3.7559,56.7255,0,0,0,14.0707,96.6539,7.2649,5.3055,-56.8376,96.6539,49.0884,-46.9256,-0.684,-4.2182,49.0884,2.27055,-11.4361,1.9267,5.1624,2.27055,0,0,0,141.167,111.594,-2.0064,-12.3037,-9.0229,111.594,55.7995,0.66,0,-2.3391,55.7995,8.39183,-8.7017,0,-4.5564,8.39183,0,0,0,80.1489,111.594,-50.3952,-4.0284,8.9245,111.594,103.921,44.6284,0,10.0235,103.921,52.7379,-9.9791,0,3.1514,52.7379,
