frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
33,36.7527,0,-0.185,83.765,-30.5018,0.7935,0.0194,111.594,83.765,6.5363,0,-8.423,57.655,-4.3533,-8.9012,-2.6961,111.594,57.655,
34,27.4904,0,-2.1971,69.227,-15.7707,-0.5828,-5.923,111.594,69.227,13.8797,0,-6.6253,65.3414,-11.8655,-7.6243,6.3813,111.594,65.3414,
35,25.6848,0,0.4557,64.7912,-10.9909,-1.7167,-9.6012,111.594,64.7912,14.6449,0,-6.9213,68.0191,-14.174,-6.2898,10.4104,111.594,68.0191,
36,32.1782,0,6.2694,66.2234,-12.8056,-0.6243,-5.2031,111.594,66.2234,15.7713,0,-8.9019,65.0536,-11.4863,-4.0485,7.3774,111.594,65.0536,
37,35.3173,0,8.5878,65.1823,-11.9094,0.1444,-1.2957,111.594,65.1823,20.5459,0,-10.0591,67.4028,-13.9311,-0.9861,6.1224,111.594,67.4028,
38,30.8813,0,7.2349,66.317,-13.0093,-3.7615,-2.7958,111.594,66.317,21.013,0,-10.2537,73.1465,-19.2892,-0.541,10.6599,111.594,73.1465,
39,25.845,0,7.0126,71.7511,-18.3624,-7.7099,-4.8908,111.594,71.7511,18.2119,0,-6.9482,76.8616,-22.6457,-1.9807,13.8231,111.594,76.8616,
40,24.4633,0,8.374,76.7037,-23.2567,-8.8939,-6.0849,111.594,76.7037,17.0496,0,-1.7973,78.2932,-24.2178,-0.8893,12.8538,111.594,78.2932,
41,23.7477,0,8.9217,82.9412,-29.6427,-13.0604,-3.4423,111.594,82.9412,17.7812,0,-1.8987,75.1764,-21.4331,1.5629,9.6618,111.594,75.1764,
42,21.7731,0,8.584,89.0657,-35.8393,-14.6354,0.7322,111.594,89.0657,18.0577,0,-4.9525,70.1013,-16.6485,3.223,5.8712,111.594,70.1013,
43,19.584,0,6.2206,87.3427,-34.0864,-6.3532,0.2615,111.594,87.3427,16.9131,0,-6.4289,70.7468,-17.3036,5.5291,5.7509,111.594,70.7468,
44,19.6586,0,1.9011,81.6088,-28.332,3.4901,-1.8985,111.594,81.6088,15.3165,0,-7.0592,74.9881,-21.3327,6.4571,8.6927,111.594,74.9881,
45,21.3424,0,0.613,82.747,-29.4768,2.9641,-1.4183,111.594,82.747,14.6739,0,-6.9722,73.6059,-20.1031,6.7841,6.7541,111.594,73.6059,
46,20.8542,0,2.4956,87.9357,-34.6625,-1.6487,1.5829,111.594,87.9357,15.7084,0,-5.26,67.9639,-14.7136,10.2738,0.7665,111.594,67.9639,
47,19.2651,0,3.582,90.9727,-37.5981,-0.6662,5.1799,111.594,90.9727,17.1749,0,-2.5219,64.0518,-10.7616,13.0871,-3.3791,111.594,64.0518,
48,19.7248,0,3.2559,93.4358,-39.9228,1.623,7.8256,111.594,93.4358,16.264,0,-0.6178,62.3784,-8.9571,11.3984,-5.7343,111.594,62.3784,
49,20.8784,0,2.5315,95.7518,-42.1564,1.2196,9.1863,111.594,95.7518,13.5,0,1.4639,62.9616,-9.4646,9.1395,-6.6629,111.594,62.9616,
50,20.7963,0,2.3068,96.8487,-43.2239,0.1556,9.6898,111.594,96.8487,11.3154,0,4.6029,64.4079,-10.9339,9.0534,-6.4051,111.594,64.4079,
51,20.9839,0,2.318,97.5845,-43.9481,0.1855,9.8967,111.594,97.5845,9.7559,0,6.9069,64.9062,-11.4501,9.1318,-6.1764,111.594,64.9062,
52,22.2287,0,1.8955,98.6266,-44.9875,0.2634,10.0105,111.594,98.6266,9.1773,0,7.7111,64.7356,-11.2622,8.472,-6.3738,111.594,64.7356,
53,23.1388,0,1.3605,99.1497,-45.5124,0.1276,10.0313,111.594,99.1497,9.4757,0,8.5419,64.6745,-11.1738,8.0302,-6.7141,111.594,64.6745,
54,23.6591,0,1.1838,99.3349,-45.6996,0.2118,10.0169,111.594,99.3349,9.7207,0,9.6065,64.7432,-11.219,8.0871,-7.0228,111.594,64.7432,
55,24.4313,0,1.1679,99.8368,-46.2053,0.3118,10.003,111.594,99.8368,9.9554,0,10.1065,64.9403,-11.4053,7.9522,-7.1595,111.594,64.9403,
56,25.1607,0,1.1474,100.453,-46.8254,0.267,9.9978,111.594,100.453,10.32,0,10.1606,65.2818,-11.7458,7.628,-7.1692,111.594,65.2818,
57,25.6438,0,1.1518,100.854,-47.2293,0.2698,9.9979,111.594,100.854,10.4771,0,10.013,65.4529,-11.919,7.5592,-7.1462,111.594,65.4529,
