frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
31,-28.5153,-48.9802,20.9229,66.6658,61.0308,-15.5896,9.4208,6.7433,61.0308,-20.5449,88.0153,-35.9111,84.1316,98.9808,-13.0388,-4.9872,-4.5369,98.9808,
32,-31.5104,-47.2054,21.7958,65.2833,60.9642,-14.4242,6.4094,5.1028,60.9642,-18.6657,73.3712,-23.9238,88.8065,81.069,-9.52,-4.2011,-3.9289,81.069,
33,-31.8272,-44.7961,19.033,66.3481,56.8452,-13.4639,3.65,3.5355,56.8452,-16.2455,55.4139,-15.9923,101.704,60.2347,-8.062,-3.8032,-3.3856,60.2347,
34,-29.348,-42.3704,15.6002,68.0018,51.5052,-11.7097,2.6626,2.8955,51.5052,-15.1845,45.9773,-14.3065,109.96,50.3758,-7.8843,-3.7318,-3.186,50.3758,
35,-26.8491,-41.343,14.3124,68.6095,49.0643,-9.7358,2.7135,2.8842,49.0643,-15.52,47.9957,-14.4646,109.326,52.4106,-8.0308,-3.7834,-3.1958,52.4106,
36,-26.9695,-41.1927,13.8227,69.2018,48.6228,-10.1596,2.9825,3.0782,48.6228,-18.2432,51.3919,-16.8447,102.806,57.5557,-8.3882,-3.8534,-3.257,57.5557,
37,-27.5993,-41.177,13.5112,69.7382,48.542,-11.9058,3.1371,3.2596,48.542,-21.2304,50.0233,-19.7598,97.8797,58.8991,-8.8349,-3.8975,-3.2975,58.8991,
38,-27.9082,-40.6446,14.0503,68.9841,48.4837,-12.4743,3.1683,3.3783,48.4837,-22.8926,48.4965,-21.4314,96.5662,59.1146,-9.0401,-3.9051,-3.313,59.1146,
39,-29.0068,-39.1331,14.8903,67.8923,47.9248,-12.3218,3.1505,3.4208,47.9248,-23.914,49.4745,-22.4721,96.2041,60.995,-9.1288,-3.8943,-3.3131,60.995,
40,-30.9942,-36.92,15.0931,68.0373,46.4846,-12.511,3.132,3.4004,46.4846,-23.2886,49.778,-21.9332,95.7155,60.705,-9.2086,-3.8701,-3.3036,60.705,
41,-32.909,-34.9027,15.4578,69.0484,45.3294,-13.0113,3.1247,3.3682,45.3294,-21.512,48.746,-20.4211,96.3386,58.2468,-9.2278,-3.8405,-3.2934,58.2468,
42,-33.6586,-33.5847,16.346,70.2028,44.9862,-13.4903,3.1247,3.3474,44.9862,-20.8695,49.1603,-20.1238,97.8095,58.2247,-9.3994,-3.8318,-3.2873,58.2247,
43,-34.3334,-33.0292,17.4016,71.1649,45.4789,-13.9023,3.1265,3.333,45.4789,-21.2734,49.9385,-20.3256,98.1832,59.1761,-9.0304,-3.8137,-3.2848,59.1761,
44,-35.6535,-33.4393,18.8014,71.8711,47.2907,-14.3242,3.1275,3.3101,47.2907,-21.6875,49.2481,-20.318,96.5765,58.6903,-7.61,-3.7517,-3.2826,58.6903,
45,-36.3849,-34.5435,20.2261,71.9881,49.6333,-14.5131,3.1278,3.2688,49.6333,-21.4462,48.0994,-20.2006,94.8212,57.5125,-6.2551,-3.683,-3.2785,57.5125,
46,-37.1427,-35.3051,21.3065,71.4809,51.3989,-14.2292,3.1277,3.2256,51.3989,-20.2465,46.8863,-19.0963,94.4477,55.3692,-5.7022,-3.6373,-3.2746,55.3692,
47,-38.2876,-35.2088,21.9834,71.3758,52.1597,-13.927,3.1276,3.2149,52.1597,-19.5876,45.8372,-17.9804,95.1853,53.5534,-5.9164,-3.6398,-3.2742,53.5534,
48,-38.5505,-35.1359,22.162,72.1494,52.3093,-13.9009,3.1275,3.236,52.3093,-20.7941,45.0125,-18.7439,96.111,53.646,-6.4855,-3.6953,-3.2752,53.646,
