frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
33,20.9244,0,2.2852,63.4204,-9.9374,-11.9171,-6.2069,111.594,63.4204,0.8112,0,-1.8725,58.8539,-5.5717,-6.7695,-1.9441,111.594,58.8539,
34,19.6739,0,0.8871,62.2257,-8.6956,-11.2302,-6.7301,111.594,62.2257,0.7195,0,-2.3163,57.7701,-4.4925,-6.5295,-1.7251,111.594,57.7701,
35,17.6099,0,-0.4601,62.0375,-8.5801,-10.242,-5.7533,111.594,62.0375,0.5732,0,-1.6563,58.8044,-5.524,-6.728,-1.8678,111.594,58.8044,
36,15.7285,0,-0.3765,61.9684,-8.6448,-11.5438,-3.5032,111.594,61.9684,0.504,0,-0.7166,59.8,-6.5158,-7.0534,-2.0524,111.594,59.8,
37,15.2406,0,1.3014,61.1496,-7.9221,-15.2279,-0.5372,111.594,61.1496,0.3707,0,0.1211,59.3783,-6.0966,-7.2276,-1.9631,111.594,59.3783,
38,14.3649,0,2.2413,59.8269,-6.6028,-18.1274,2.0405,111.594,59.8269,0.3646,0,1.2482,58.8906,-5.6206,-7.7467,-1.5044,111.594,58.8906,
39,11.5291,0,1.3972,58.5329,-5.2821,-18.6465,3.1204,111.594,58.5329,0.4722,0,2.567,59.2535,-5.9943,-8.5031,-0.9955,111.594,59.2535,
40,9.0617,0,0.4925,58.2717,-5.0231,-18.318,2.9815,111.594,58.2717,0.4633,0,3.3678,59.6322,-6.3745,-8.875,-0.9651,111.594,59.6322,
41,8.1385,0,0.8836,58.3486,-5.0966,-19.0316,3.2279,111.594,58.3486,0.2638,0,3.3898,59.5371,-6.2702,-8.699,-1.4718,111.594,59.5371,
42,7.0727,0,1.0441,57.8803,-4.5913,-19.8738,4.2451,111.594,57.8803,0.0522,0,3.1343,59.419,-6.1432,-8.5569,-1.8488,111.594,59.419,
43,5.6859,0,1.0113,56.9721,-3.6281,-20.6155,5.3145,111.594,56.9721,-0.031,0,3.1261,59.6089,-6.3422,-9.0024,-1.5035,111.594,59.6089,
44,4.9025,0,1.8789,55.6985,-2.2752,-22.2518,6.579,111.594,55.6985,0.028,0,3.5967,60.2562,-7.0064,-9.8904,-0.5548,111.594,60.2562,
45,4.3166,0,3.0056,54.4271,-0.882,-24.1126,8.0707,111.594,54.4271,0.1443,0,4.088,60.9234,-7.68,-10.7252,0.3023,111.594,60.9234,
46,3.2106,0,4.1181,53.6684,-0.0426,-25.1426,8.8887,111.594,53.6684,0.1425,0,4.2591,61.0226,-7.78,-11.162,0.601,111.594,61.0226,
47,2.2865,0,4.9702,53.5711,0.0183,-25.2169,8.5596,111.594,53.5711,0.0537,0,4.401,60.7807,-7.5386,-11.1407,0.4533,111.594,60.7807,
48,1.8288,0,5.5483,53.0988,0.4244,-24.9752,7.871,111.594,53.0988,-0.001,0,4.7226,60.4991,-7.2569,-11.0387,0.2005,111.594,60.4991,
