frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
10,18.6857,-1.3361,-10.1216,0,118.098,119.031,99.5268,0,0,0,118.098,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,11.817,7.163,2.3854,3.26225,33.685,0,0,0,33.685,0,-23.0403,4.0862,-13.042,0,0,0,0,14.0707,96.6539,21.8407,-26.231,70.0471,96.6539,60.2316,-28.6689,78.6356,-36.2111,60.2316,96.2803,-6.658,-2.797,-4.1751,96.2803,0,0,0,14.0707,96.6539,27.8384,-67.7691,-26.7005,96.6539,69.1657,-20.7701,-55.8315,20.843,69.1657,64.5995,-17.083,10.8765,6.7313,64.5995,0,0,0,99.5268,111.594,-13.8552,-6.7385,3.2356,111.594,67.1645,2.9672,0.0068,-5.0808,67.1645,11.3574,-7.9504,-0.0254,-4.42,11.3574,0,0,0,119.031,111.594,-15.7293,-0.9308,0.7447,111.594,68.9953,14.6017,-0.006,1.1211,68.9953,22.2135,-9.647,0.0649,10.3698,22.2135,
11,19.461,1.1038,-9.122,0,118.97,117.342,101.711,0,0,0,118.97,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,10.6186,5.6707,1.7082,3.26219,32.5393,0,0,0,32.5393,0,-22.397,3.0339,-9.2438,0,0,0,0,14.0707,96.6539,30.6169,-24.8202,60.7285,96.6539,49.2516,-30.716,78.7786,-36.3184,49.2516,97.5864,-5.4654,-2.4017,-4.0267,97.5864,0,0,0,14.0707,96.6539,26.9596,-64.5201,-32.2995,96.6539,69.2449,-25.1794,-55.6273,22.911,69.2449,67.1985,-16.476,9.7973,6.4991,67.1985,0,0,0,101.711,111.594,-12.8785,-6.2914,2.6429,111.594,66.1708,2.1694,0.0039,-4.4531,66.1708,10.3925,-7.9526,-0.0136,-4.42,10.3925,0,0,0,117.342,111.594,-15.3956,-0.1685,-2.1069,111.594,68.6835,11.1672,-0.0034,-0.9013,68.6835,18.8692,-9.8868,0.0364,10.9414,18.8692,
12,19.3405,1.8115,-7.5939,0,118.781,117.003,101.91,0,0,0,118.781,0.359365,0,0,0,0.359365,14.0707,3.26219,14.0707,8.0285,2.2153,-0.1809,3.26219,30.0349,0,0,0,30.0349,0,-21.8998,1.8706,-0.3634,0,0,0,0,14.0707,96.6539,33.5266,-19.0557,51.3585,96.6539,40.7674,-28.2247,74.6151,-33.9397,40.7674,91.5159,-5.2291,-2.2271,-3.9621,91.5159,0,0,0,14.0707,96.6539,26.6565,-59.3334,-38.076,96.6539,68.1927,-26.855,-55.1537,23.7712,68.1927,67.92,-15.4162,7.5225,6.3215,67.92,0,0,0,101.91,111.594,-12.6731,-6.2485,2.1422,111.594,65.9527,2.0047,0.0007,-4.933,65.9527,10.4114,-7.9732,-0.0023,-4.4211,10.4114,0,0,0,117.003,111.594,-14.0944,-3.53,-0.3256,111.594,67.3564,12.7781,-0.0007,-0.8014,67.3564,20.4644,-8.8863,0.007,9.2975,20.4644,
13,18.6705,2.2024,-6.2365,0,118.004,116.754,101.634,0,0,0,118.004,0.361536,0,0,0,0.361536,14.0707,3.26219,14.0707,5.9664,-1.4851,-1.9452,3.26219,28.0064,0,0,0,28.0064,0,-21.2528,-0.3947,8.0974,0,0,0,0,14.0707,96.6539,30.0032,-20.3263,46.8055,96.6539,38.7359,-24.4974,66.919,-29.2971,38.7359,80.606,-4.7951,-2.0337,-3.9785,80.606,0,0,0,14.0707,96.6539,28.8393,-58.2468,-36.6591,96.6539,67.2036,-27.5627,-53.0415,23.8655,67.2036,66.3494,-14.6734,5.9635,6.2886,66.3494,0,0,0,101.634,111.594,-12.5879,-6.187,2.4248,111.594,65.8747,1.3083,-0.0005,-5.1801,65.8747,9.87643,-7.9654,0.0018,-4.4207,9.87643,0,0,0,116.754,111.594,-16.6281,-4.6857,3.2344,111.594,69.941,21.4184,0.0004,1.5288,69.941,29.0324,-7.0096,-0.0044,6.4986,29.0324,
14,18.8515,1.7153,-5.7922,0,118.16,117.488,101.035,0,0,0,118.16,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,5.411,-3.1745,-2.5728,3.26225,27.4375,0,0,0,27.4375,0,-20.587,-2.5196,11.7196,0,0,0,0,14.0707,96.6539,29.3949,-23.225,45.0109,96.6539,38.5622,-26.5604,66.3537,-29.2409,38.5622,81.023,-4.3921,-1.9367,-4.0918,81.023,0,0,0,14.0707,96.6539,29.8306,-59.4563,-34.2018,96.6539,66.9789,-28.3679,-51.5415,23.5162,66.9789,65.0569,-14.8681,6.6793,6.4595,65.0569,0,0,0,101.035,111.594,-12.0899,-6.1089,2.4348,111.594,65.3773,0.339,-0.0005,-4.1996,65.3773,8.59578,-7.9581,0.0017,-4.4202,8.59578,0,0,0,117.488,111.594,-19.4861,-3.4877,3.8601,111.594,72.8225,26.3515,0.0004,3.9964,72.8225,34.071,-6.2691,-0.0044,4.8291,34.071,
15,19.571,1.5616,-6.0776,0,118.998,118.016,101.086,0,0,0,118.998,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,5.5506,-2.781,-2.4595,3.26219,27.5833,0,0,0,27.5833,0,-20.6586,-2.9184,11.5584,0,0,0,0,14.0707,96.6539,29.7376,-23.0476,43.1537,96.6539,37.2816,-29.277,69.5545,-31.4554,37.2816,86.3325,-4.5819,-2.0112,-4.2366,86.3325,0,0,0,14.0707,96.6539,28.5626,-60.4956,-34.9812,96.6539,67.9421,-27.4654,-52.6441,22.6667,67.9421,65.1665,-15.4793,8.7419,6.6768,65.1665,0,0,0,101.086,111.594,-11.7966,-6.5008,2.4848,111.594,65.0844,-0.0995,-0.0002,-3.1173,65.0844,7.82499,-7.9668,0.0006,-4.4207,7.82499,0,0,0,118.016,111.594,-18.5292,-3.6627,1.6589,111.594,71.8034,22.1602,0.0002,5.2589,71.8034,30.0421,-6.5139,-0.0017,5.0003,30.0421,
16,19.9113,2.4206,-6.1561,0,119.46,117.501,101.879,0,0,0,119.46,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,5.601,-1.4666,-2.2703,3.26225,27.6608,0,0,0,27.6608,0,-21.5495,-2.0235,9.9085,0,0,0,0,14.0707,96.6539,28.0088,-23.2613,42.1988,96.6539,37.3804,-29.634,70.4507,-32.1673,37.3804,87.6903,-4.9362,-2.1158,-4.3128,87.6903,0,0,0,14.0707,96.6539,27.6816,-61.9706,-35.1337,96.6539,69.0046,-26.3274,-53.5841,22.22,69.0046,65.3318,-15.7498,10.2827,6.7675,65.3318,0,0,0,101.879,111.594,-12.3375,-6.8617,2.7739,111.594,65.6323,-0.1432,0,-2.6579,65.6323,7.66698,-7.9677,0,-4.4208,7.66698,0,0,0,117.501,111.594,-16.8528,-5.4799,0.6889,111.594,70.1127,18.3291,0,5.3423,70.1127,26.2764,-6.4341,0,5.2819,26.2764,
17,20.0807,2.9822,-5.9943,0,119.664,117.221,102.279,0,0,0,119.664,0.360994,0,0,0,0.360994,14.0707,3.26231,14.0707,5.7563,-0.7947,-2.1542,3.26231,27.8254,0,0,0,27.8254,0,-22.5569,-1.0822,9.2459,0,0,0,0,14.0707,96.6539,26.7833,-24.4852,42.8565,96.6539,38.6615,-31.7115,72.0686,-33.9852,38.6615,91.1616,-4.8676,-2.1722,-4.3228,91.1616,0,0,0,14.0707,96.6539,27.4582,-62.7176,-34.1935,96.6539,68.9847,-26.2018,-53.7286,22.3202,68.9847,65.4827,-15.6498,10.7447,6.7663,65.4827,0,0,0,102.279,111.594,-13.1901,-6.8222,2.7709,111.594,66.4845,-0.0649,0,-2.2561,66.4845,7.66383,-7.9623,-0.0002,-4.4204,7.66383,0,0,0,117.221,111.594,-15.4004,-7.0448,1.5832,111.594,68.6665,18.2569,0,5.0066,68.6665,26.1553,-6.4419,0.0004,5.4645,26.1553,
18,20.4971,3.3504,-6.0902,0,120.13,117.186,102.613,0,0,0,120.13,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,6.3279,-0.9988,-1.9246,3.26213,28.3771,0,0,0,28.3771,0,-23.4608,0.2179,10.1657,0,0,0,0,14.0707,96.6539,26.8473,-24.5142,44.3031,96.6539,39.4775,-34.4221,74.8535,-36.6775,39.4775,96.511,-4.7747,-2.202,-4.3,96.511,0,0,0,14.0707,96.6539,26.8278,-62.7834,-33.6201,96.6539,68.4468,-25.9873,-54.1292,22.0044,68.4468,65.5688,-15.5544,10.7054,6.741,65.5688,0,0,0,102.613,111.594,-13.7481,-6.925,2.6395,111.594,67.0381,-0.0058,0,-1.3064,67.0381,7.6169,-7.9643,0,-4.4205,7.6169,0,0,0,117.186,111.594,-12.9572,-9.0236,2.4488,111.594,66.2355,16.9246,0,5.7022,66.2355,24.9573,-6.6165,0.0003,5.5932,24.9573,
19,20.6867,3.9206,-6.5463,0,120.424,116.866,103.11,0,0,0,120.424,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.8466,-1.1687,-1.7916,3.26219,28.8846,0,0,0,28.8846,0,-22.1073,1.3848,11.4887,0,0,0,0,14.0707,96.6539,27.1658,-23.8526,45.7846,96.6539,40.01,-35.0564,77.0706,-38.6865,40.01,99.8936,-4.8129,-2.1936,-4.2659,99.8936,0,0,0,14.0707,96.6539,26.2022,-63.4968,-33.6853,96.6539,68.8907,-24.5271,-55.4848,22.3458,68.8907,66.491,-15.6669,10.5833,6.7346,66.491,0,0,0,103.11,111.594,-13.5961,-7.5811,2.6136,111.594,66.8835,0.2325,0,0.1006,66.8835,7.91289,-7.9667,0,-4.4207,7.91289,0,0,0,116.866,111.594,-12.5738,-10.675,2.0886,111.594,65.8373,15.323,0,6.5075,65.8373,23.5577,-7.1238,0,6.5729,23.5577,
