frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
10,14.1712,6.2818,-8.2273,0,115.685,100.44,116.353,0,0,0,115.685,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,7.2423,7.4325,0.4446,3.26219,29.1581,0,0,0,29.1581,0,-24.1292,14.0024,8.1141,0,0,0,0,14.0707,96.6539,45.1483,56.8028,26.1313,96.6539,63.2445,-12.0698,84.7921,-9.9622,63.2445,85.0716,-11.9015,-3.4963,-4.1001,85.0716,0,0,0,14.0707,96.6539,38.6341,15.6281,-89.9197,96.6539,73.9523,-25.6059,-77.2165,38.3558,73.9523,94.4357,-9.1248,1.9465,5.699,94.4357,0,0,0,116.353,111.594,-26.5301,4.9998,-2.8251,111.594,79.8245,33.2135,0.0089,-5.7322,79.8245,41.0323,-8.7722,-0.0869,-4.6033,41.0323,0,0,0,100.44,111.594,-20.3579,-0.4217,8.481,111.594,73.9931,19.2806,-0.0014,-5.3893,73.9931,27.5967,-9.0386,0.0632,15.7963,27.5967,
11,15.0531,6.0757,-8.8268,0,116.32,100.782,116.453,0,0,0,116.32,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,7.4024,5.7933,-0.029,3.26225,29.3738,0,0,0,29.3738,0,-24.1755,11.9226,10.1277,0,0,0,0,14.0707,96.6539,43.9146,56.0195,26.2406,96.6539,62.2797,-13.4435,85.8038,-9.7057,62.2797,86.3074,-12.1395,-3.3895,-4.1756,86.3074,0,0,0,14.0707,96.6539,41.6522,11.8954,-93.7246,96.6539,78.6291,-26.8831,-78.0193,39.4503,78.6291,96.3593,-9.4872,2.0383,5.809,96.3593,0,0,0,116.453,111.594,-27.1104,4.9614,-2.0919,111.594,80.3882,33.385,0.005,-5.9996,80.3882,41.2275,-8.7202,-0.0488,-4.5996,41.2275,0,0,0,100.782,111.594,-20.355,-0.7694,8.4423,111.594,73.9861,20.3195,-0.0008,-5.021,73.9861,28.5331,-8.9979,0.0355,15.7939,28.5331,
12,16.0271,5.4321,-9.6487,0,117.025,101.402,116.308,0,0,0,117.025,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,7.6275,4.2441,-0.6269,3.26219,29.6472,0,0,0,29.6472,0,-24.1147,10.7781,12.2528,0,0,0,0,14.0707,96.6539,42.9081,55.1302,26.5279,96.6539,61.419,-14.2249,85.6263,-8.6974,61.419,86.0456,-12.0533,-3.4408,-4.2767,86.0456,0,0,0,14.0707,96.6539,43.5194,9.3102,-95.9601,96.6539,81.8135,-26.6802,-77.6138,39.3399,81.8135,95.8651,-9.9348,2.0981,5.9713,95.8651,0,0,0,116.308,111.594,-27.8707,4.9668,-1.4069,111.594,81.1376,32.6211,0.001,-6.2357,81.1376,40.4954,-8.6183,-0.0094,-4.5965,40.4954,0,0,0,101.402,111.594,-21.9428,-2.6307,9.0787,111.594,75.6186,20.853,-0.0002,-3.3876,75.6186,28.7803,-8.9181,0.0068,15.7942,28.7803,
13,16.6492,5.0673,-10.1092,0,117.338,101.672,116.248,0,0,0,117.338,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.9185,3.373,-1.0275,3.26225,28.966,0,0,0,28.966,0,-23.6663,8.7044,10.9854,0,0,0,0,14.0707,96.6539,43.3313,54.3638,25.68,96.6539,60.1205,-16.4328,82.5573,-9.3414,60.1205,83.7001,-10.9701,-3.4712,-4.2946,83.7001,0,0,0,14.0707,96.6539,41.6132,9.1134,-96.1414,96.6539,82.3854,-23.6263,-73.6814,35.5531,82.3854,89.1032,-9.4743,2.0586,6.0075,89.1032,0,0,0,116.248,111.594,-28.4219,5.1228,-0.9676,111.594,81.684,31.7845,-0.0006,-6.492,81.684,39.6968,-8.6534,0.0059,-4.6002,39.6968,0,0,0,101.672,111.594,-24.2247,-4.8149,9.5844,111.594,77.9281,21.8635,0,-2.1872,77.9281,29.6367,-8.9393,-0.0043,15.7954,29.6367,
14,17.6543,4.5066,-9.9565,0,118.056,102.316,116.08,0,0,0,118.056,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.3258,2.0202,-1.2798,3.26219,28.3833,0,0,0,28.3833,0,-23.5101,6.2696,9.4056,0,0,0,0,14.0707,96.6539,43.4817,52.8146,24.2729,96.6539,57.5497,-21.9708,76.868,-9.7931,57.5497,79.5132,-8.5516,-3.2003,-4.2309,79.5132,0,0,0,14.0707,96.6539,38.4721,9.938,-94.5676,96.6539,80.9543,-19.8937,-66.2311,28.0556,80.9543,77.2423,-8.0634,1.9789,5.944,77.2423,0,0,0,116.08,111.594,-29.1342,5.7034,-1.1539,111.594,82.3967,30.9167,-0.0006,-6.6657,82.3967,38.8609,-8.6891,0.0059,-4.6013,38.8609,0,0,0,102.316,111.594,-26.3391,-6.8714,9.5144,111.594,80.0164,22.2462,0,-1.6362,80.0164,29.9673,-8.957,-0.0043,15.7946,29.9673,
15,18.3387,3.9857,-9.0487,0,118.522,102.896,115.799,0,0,0,118.522,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.6577,0.8438,-1.2153,3.26225,28.6996,0,0,0,28.6996,0,-24.0241,5.9813,10.1323,0,0,0,0,14.0707,96.6539,41.674,50.8515,23.6794,96.6539,54.788,-26.3834,71.9811,-6.0887,54.788,73.8505,-6.3855,-2.8124,-4.1807,73.8505,0,0,0,14.0707,96.6539,36.0689,9.9492,-92.7979,96.6539,79.6344,-17.4304,-60.5378,22.3801,79.6344,68.3921,-6.6313,1.9488,5.916,68.3921,0,0,0,115.799,111.594,-29.5824,6.2425,-2.1854,111.594,82.8582,30.5588,-0.0002,-7.1517,82.8582,38.5704,-8.638,0.0023,-4.5981,38.5704,0,0,0,102.896,111.594,-27.4695,-7.582,8.6969,111.594,81.0684,21.5489,0,-1.2,81.0684,29.2388,-8.925,-0.0016,15.7942,29.2388,
16,18.6564,3.5502,-7.7821,0,118.678,103.298,115.489,0,0,0,118.678,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.9135,0.4936,-1.3345,3.26219,28.9569,0,0,0,28.9569,0,-24.5045,6.3493,10.986,0,0,0,0,14.0707,96.6539,39.6616,50.2798,23.9982,96.6539,54.0262,-28.0858,68.6812,-2.1735,54.0262,68.847,-5.4764,-2.5724,-4.1434,68.847,0,0,0,14.0707,96.6539,33.5959,10.4318,-91.0764,96.6539,78.2019,-15.9952,-60.0588,21.2157,78.2019,66.856,-5.6384,1.9771,5.8611,66.856,0,0,0,115.489,111.594,-29.5066,6.5677,-3.4354,111.594,82.8124,30.4586,0,-7.9518,82.8124,38.5862,-8.6142,0,-4.5968,38.5862,0,0,0,103.298,111.594,-28.0961,-6.5351,7.9328,111.594,81.638,21.2788,0,-1.0347,81.638,28.958,-8.9226,0,15.7948,28.958,
17,19.7179,2.8064,-6.565,0,119.698,104.227,115.221,0,0,0,119.698,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.5368,0.4857,-1.7757,3.26219,28.6057,0,0,0,28.6057,0,-24.3003,5.3726,10.3398,0,0,0,0,14.0707,96.6539,39.8329,51.1008,26.2103,96.6539,56.6077,-31.5606,65.2536,-1.6891,56.6077,65.4882,-5.2819,-2.4269,-4.015,65.4882,0,0,0,14.0707,96.6539,32.0731,13.4467,-87.7372,96.6539,74.2638,-15.4489,-62.2427,21.0315,74.2638,68.5286,-4.5731,1.9201,5.6002,68.5286,0,0,0,115.221,111.594,-29.4696,7.5363,-4.3741,111.594,82.805,30.0025,0,-8.626,82.805,38.2486,-8.6392,-0.0006,-4.5979,38.2486,0,0,0,104.227,111.594,-28.8351,-5.4529,7.5243,111.594,82.3493,21.06,0,-1.7213,82.3493,28.7931,-8.9394,0.0004,15.7948,28.7931,
18,20.8817,2.5141,-5.8672,0,120.917,104.718,115.523,0,0,0,120.917,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,6.1288,0.927,-1.5314,3.26225,28.1901,0,0,0,28.1901,0,-23.8463,4.7375,8.409,0,0,0,0,14.0707,96.6539,40.3718,51.416,29.0126,96.6539,59.3124,-36.4043,61.4757,-1.9962,59.3124,62.3207,-5.303,-2.3473,-3.814,62.3207,0,0,0,14.0707,96.6539,33.5038,17.3779,-82.7945,96.6539,68.0675,-14.7922,-63.7608,19.8595,68.0675,69.1508,-4.9283,1.813,5.2923,69.1508,0,0,0,115.523,111.594,-29.662,8.3263,-4.7611,111.594,83.0099,29.6873,0,-8.7059,83.0099,37.9551,-8.6347,-0.0003,-4.5976,37.9551,0,0,0,104.718,111.594,-29.3613,-5.6236,7.0528,111.594,82.8419,20.2791,0,-2.2888,82.8419,28.0729,-8.9316,0.0002,15.7944,28.0729,
19,21.2004,2.1204,-6.1492,0,121.26,104.904,115.556,0,0,0,121.26,0.360452,0,0,0,0.360452,14.0707,3.26207,14.0707,5.7033,1.8485,-0.4871,3.26207,27.721,0,0,0,27.721,0,-23.7534,4.8513,4.9205,0,0,0,0,14.0707,96.6539,37.1242,42.8876,35.1574,96.6539,55.8579,-37.3348,61.4728,-4.1097,55.8579,63.7659,-5.4372,-2.3612,-3.6682,63.7659,0,0,0,14.0707,96.6539,36.0109,18.7145,-78.3374,96.6539,62.8668,-13.437,-63.401,18.4894,62.8668,67.7771,-7.7852,1.8596,5.1572,67.7771,0,0,0,115.556,111.594,-30.0894,7.7998,-4.3351,111.594,83.4216,29.3296,0,-8.2123,83.4216,37.523,-8.617,0,-4.5966,37.523,0,0,0,104.904,111.594,-29.7451,-6.1822,6.882,111.594,83.2118,19.9811,0,-1.9126,83.2118,27.7374,-8.924,0,15.7946,27.7374,
