frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
10,18.3571,81.0975,10.7435,0,96.2183,43.8896,156.72,0,0,0,96.2183,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.0509,-0.3171,-2.3038,3.26225,28.1413,0,0,0,28.1413,0,-10.6996,5.9586,10.219,0,0,0,0,14.0707,96.6539,86.3347,43.3958,37.755,96.6539,70.1463,-32.2581,79.3591,-36.8101,70.1463,99.1778,-6.8619,-3.8469,-3.3132,99.1778,0,0,0,14.0707,96.6539,-5.7432,-21.9137,-35.7576,96.6539,27.2952,-19.7801,-55.2293,22.3205,27.2952,64.5277,-10.8021,3.1275,3.5315,64.5277,0,0,0,156.72,111.594,-11.9922,11.1829,2.2159,111.594,65.2681,10.8333,0.1675,6.7672,65.2681,19.953,-9.9433,-0.0358,-5.43,19.953,0,0,0,43.8896,111.594,-28.3747,-5.1729,-3.4571,111.594,81.6935,15.3325,-0.0055,8.0302,81.6935,23.9506,-9.4709,0.1026,17.0634,23.9506,
11,16.985,78.0431,10.4581,0,95.7895,45.7173,154.634,0,0,0,95.7895,0.360994,0,0,0,0.360994,14.0707,3.26231,14.0707,6.1699,0.5162,-1.7149,3.26231,28.2363,0,0,0,28.2363,0,-11.0167,7.355,9.4431,0,0,0,0,14.0707,96.6539,95.2254,43.1191,33.9281,96.6539,66.9475,-26.9283,82.9242,-37.1671,66.9475,99.2195,-6.5357,-3.8331,-3.3331,99.2195,0,0,0,14.0707,96.6539,-3.0955,-18.5561,-39.5059,96.6539,30.4075,-17.3265,-52.4453,20.1084,30.4075,59.9569,-7.6748,3.1275,3.6218,59.9569,0,0,0,154.634,111.594,-9.8907,11.6521,0.73,111.594,63.1359,9.331,0.094,7.4021,63.1359,18.8464,-9.941,-0.0201,-5.4315,18.8464,0,0,0,45.7173,111.594,-27.7979,-4.6845,-4.4171,111.594,81.1544,17.2198,-0.0031,8.6245,81.1544,25.911,-9.4485,0.0576,17.0742,25.911,
12,16.5207,75.9802,11.1713,0,95.4264,46.9748,153.062,0,0,0,95.4264,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.4001,1.4151,-1.5392,3.26219,28.4678,0,0,0,28.4678,0,-11.5237,7.8795,8.7813,0,0,0,0,14.0707,96.6539,102.506,35.9701,35.2183,96.6539,61.456,-15.6348,88.6564,-36.6049,61.456,96.6464,-6.1842,-3.785,-3.3479,96.6464,0,0,0,14.0707,96.6539,1.3714,-18.2281,-43.203,96.6539,35.098,-12.7901,-48.9038,15.7691,35.098,53.0978,-6.5424,3.1275,3.6592,53.0978,0,0,0,153.062,111.594,-7.9696,13.2348,0.2867,111.594,61.2044,8.8145,0.0181,8.1594,61.2044,18.7368,-9.9364,-0.0039,-5.4302,18.7368,0,0,0,46.9748,111.594,-27.2093,-4.8696,-5.2747,111.594,80.607,19.3044,-0.0006,8.9601,80.607,27.9865,-9.4047,0.0111,17.0665,27.9865,
13,16.5593,73.9207,12.4212,0,95.4092,48.3902,151.797,0,0,0,95.4092,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,6.5222,2.0766,-1.4819,3.26219,28.5934,0,0,0,28.5934,0,-11.7527,8.1852,8.4774,0,0,0,0,14.0707,96.6539,105.089,31.576,34.3285,96.6539,56.3112,-1.4685,95.9162,-37.9603,56.3112,93.1259,-5.9848,-3.7011,-3.3375,93.1259,0,0,0,14.0707,96.6539,3.9201,-18.8789,-45.2888,96.6539,37.9848,-8.1937,-43.6404,10.9732,37.9848,44.9163,-7.3392,3.1275,3.5189,44.9163,0,0,0,151.797,111.594,-5.8566,14.3292,0.2206,111.594,59.086,9.5039,-0.0114,7.8442,59.086,19.1989,-9.9375,0.0024,-5.43,19.1989,0,0,0,48.3902,111.594,-25.857,-4.2609,-5.892,111.594,79.2912,21.0977,0.0004,9.2328,79.2912,29.7687,-9.4163,-0.007,17.0641,29.7687,
14,16.2223,71.5505,12.7578,0,95.7188,50.1482,150.614,0,0,0,95.7188,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.4994,2.4358,-1.5034,3.26225,28.5759,0,0,0,28.5759,0,-11.5831,8.3039,8.1982,0,0,0,0,14.0707,96.6539,104.723,30.8671,30.4201,96.6539,52.007,8.0384,101.064,-40.2345,52.007,90.2939,-5.8466,-3.5847,-3.2806,90.2939,0,0,0,14.0707,96.6539,3.6304,-18.6719,-46.2184,96.6539,38.7041,-6.8521,-39.7762,9.0091,38.7041,40.2364,-8.1056,3.1275,3.0709,40.2364,0,0,0,150.614,111.594,-4.0465,14.6496,0.0821,111.594,57.2736,10.4363,-0.0114,7.1048,57.2736,19.7252,-9.9386,0.0024,-5.4309,19.7252,0,0,0,50.1482,111.594,-25.4827,-2.7639,-6.3409,111.594,78.9446,23.177,0.0004,9.3476,78.9446,31.7876,-9.426,-0.007,17.0701,31.7876,
15,15.9391,69.5782,12.2297,0,96.3349,51.7602,149.905,0,0,0,96.3349,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,6.0071,3.2745,-1.4727,3.26219,28.0906,0,0,0,28.0906,0,-13.0397,9.5383,6.7993,0,0,0,0,14.0707,96.6539,85.4715,21.5445,33.0261,96.6539,44.4349,7.9356,90.4491,-35.6068,44.4349,83.0306,-5.5974,-3.2982,-3.2819,83.0306,0,0,0,14.0707,96.6539,1.9985,-15.0386,-42.889,96.6539,34.3181,-9.2877,-37.0083,8.1386,34.3181,37.764,-8.1446,2.8664,2.9612,37.764,0,0,0,149.905,111.594,-3.2386,14.8371,0.3777,111.594,56.4668,10.6842,-0.0043,6.5356,56.4668,19.7341,-9.9367,0.0009,-5.4307,19.7341,0,0,0,51.7602,111.594,-26.6878,-1.8902,-7.0384,111.594,80.1913,24.8479,0.0001,9.3684,80.1913,33.3978,-9.4084,-0.0027,17.069,33.3978,
16,15.9084,67.4916,12.2353,0,97.0782,53.545,149.128,0,0,0,97.0782,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,4.7695,5.1766,-0.6922,3.26225,26.7982,0,0,0,26.7982,0,-17.3461,12.6742,3.453,0,0,0,0,14.0707,96.6539,36.5439,2.5412,45.7818,96.6539,38.8969,-0.5295,64.4018,-24.4286,38.8969,65.3518,-5.1802,-2.7418,-3.4251,65.3518,0,0,0,14.0707,96.6539,3.1136,-8.1076,-36.0441,96.6539,27.1786,-9.6371,-31.961,3.1295,27.1786,31.0219,-7.6363,2.1798,3.6328,31.0219,0,0,0,149.128,111.594,-2.8936,15.5877,0.87,111.594,56.1239,11.3731,0,4.8577,56.1239,19.8329,-9.9366,0,-5.4302,19.8329,0,0,0,53.545,111.594,-27.6809,-1.3742,-7.6192,111.594,81.2216,26.5197,0,8.6901,81.2216,34.8722,-9.4071,0,17.066,34.8722,
17,16.114,64.5732,13.2954,0,97.9327,56.0974,147.638,0,0,0,97.9327,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,2.8999,6.8664,-0.4673,3.26219,24.9081,0,0,0,24.9081,0,-17.261,15.7165,12.1046,0,0,0,0,14.0707,96.6539,10.7757,-4.6545,52.9375,96.6539,45.0665,-6.7341,52.7024,-19.9632,45.0665,56.3134,-4.7665,-2.2508,-3.5267,56.3134,0,0,0,14.0707,96.6539,5.3811,-2.1619,-33.0095,96.6539,24.9363,-8.343,-26.9834,-2.0843,24.9363,24.5245,-6.6628,1.5217,4.3587,24.5245,0,0,0,147.638,111.594,-3.0309,17.2037,0.429,111.594,56.247,13.5177,0.0011,2.2805,56.247,21.37,-9.9375,-0.0002,-5.4306,21.37,0,0,0,56.0974,111.594,-28.5117,0.2027,-7.887,111.594,82.0667,28.9441,0,7.2711,82.0667,37.0001,-9.4163,0.0007,17.0681,37.0001,
18,17.0181,61.6785,14.6051,0,99.1626,58.9249,146.201,0,0,0,99.1626,0.359909,0,0,0,0.359909,14.0707,3.26207,14.0706,1.3198,7.504,-1.2774,3.26207,23.437,0,0,0,23.437,0,-12.389,17.0696,29.8643,0,0,0,0,14.0706,96.6539,26.0231,2.642,50.2512,96.6539,42.8688,-6.8145,62.1198,-25.1305,42.8688,66.4758,-4.5894,-2.0755,-3.5069,66.4758,0,0,0,14.0707,96.6539,6.0746,1.617,-34.3427,96.6539,27.108,-9.1079,-24.7742,-3.6271,27.108,22.0472,-5.2443,1.2502,4.6315,22.0472,0,0,0,146.201,111.594,-3.8937,18.3107,-0.4845,111.594,57.0994,15.3398,0.0007,0.466,57.0994,22.9953,-9.9371,-0.0001,-5.4307,22.9953,0,0,0,58.9249,111.594,-29.6498,1.502,-8.2855,111.594,83.2278,31.0234,0,6.4249,83.2278,38.9376,-9.412,0.0004,17.069,38.9376,
19,18.0541,60.0559,14.8953,0,100.353,60.7695,145.647,0,0,0,100.353,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,1.6487,7.5178,-1.3804,3.26219,23.7775,0,0,0,23.7775,0,-13.9737,16.631,27.456,0,0,0,0,14.0707,96.6539,24.6196,2.7595,52.7845,96.6539,45.3124,-10.7209,63.9361,-27.5081,45.3124,70.7375,-4.7992,-2.0954,-3.5566,70.7375,0,0,0,14.0707,96.6539,7.8905,5.1572,-34.7866,96.6539,28.6231,-9.1191,-22.8856,-4.0156,28.6231,20.1002,-4.5549,1.2848,4.7114,20.1002,0,0,0,145.647,111.594,-4.9848,18.0873,-0.0892,111.594,58.1922,15.4301,0.0001,-0.8886,58.1922,23.0416,-9.9367,0,-5.4304,23.0416,0,0,0,60.7695,111.594,-30.2834,0.8954,-8.455,111.594,83.8732,31.6097,0,6.3319,83.8732,39.5061,-9.4079,0,17.0674,39.5061,
