frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
35,32.5846,0,9.7981,59.0207,-2.7865,-15.9386,-5.6503,111.594,59.0207,23.182,0,9.4391,59.9167,-7.162,-7.9535,9.4341,111.594,59.9167,
36,32.3846,0,9.8483,58.76,-3.4598,-16.1174,-5.7124,111.594,58.76,23.0817,0,8.1927,59.9645,-8.8634,-7.77,9.5587,111.594,59.9645,
37,33.5356,0,9.357,58.8251,-4.4383,-15.1288,-5.9458,111.594,58.8251,24.2037,0,6.6984,60.1693,-10.4152,-6.2774,9.1858,111.594,60.1693,
38,34.4903,0,9.144,58.0435,-4.2863,-14.2349,-6.5055,111.594,58.0435,25.0054,0,5.3938,60.1761,-10.4944,-5.7206,8.6633,111.594,60.1761,
39,34.3314,0,9.4938,55.8018,-3.5714,-14.6842,-7.223,111.594,55.8018,25.122,0,4.4132,59.9622,-10.3508,-6.3467,8.3401,111.594,59.9622,
40,33.9542,0,9.8918,53.8221,-3.53,-15.6424,-8.4373,111.594,53.8221,24.7467,0,3.7114,60.0078,-10.5179,-6.5825,8.1486,111.594,60.0078,
41,33.7126,0,10.0546,54.8273,-4.1246,-16.0595,-10.011,111.594,54.8273,24.076,0,3.3122,60.0929,-10.1846,-6.1632,7.868,111.594,60.0929,
42,33.2021,0,10.0599,56.9604,-3.5018,-15.8702,-11.019,111.594,56.9604,23.8659,0,3.2401,59.1605,-8.9577,-5.994,7.4019,111.594,59.1605,
43,33.0779,0,10.024,58.1664,-2.558,-15.9604,-11.3585,111.594,58.1664,24.0977,0,2.7545,58.4843,-8.2197,-6.0264,7.2495,111.594,58.4843,
44,33.1365,0,10.0005,58.1848,-3.057,-16.7024,-11.3276,111.594,58.1848,23.8037,0,2.269,58.6579,-9.0038,-5.9095,7.467,111.594,58.6579,
45,32.2206,0,9.9945,56.8151,-3.5506,-17.6333,-11.3414,111.594,56.8151,23.0385,0,2.7236,58.2551,-10.0012,-6.1327,7.7399,111.594,58.2551,
46,30.5372,0,9.9965,56.221,-3.0134,-18.7376,-10.9051,111.594,56.221,22.3669,0,3.9478,58.3426,-10.3924,-6.8619,8.2412,111.594,58.3426,
47,29.1192,0,9.9991,57.1451,-2.6582,-20.2279,-9.6332,111.594,57.1451,21.5368,0,5.6029,59.7192,-10.0876,-7.7233,8.4709,111.594,59.7192,
48,28.6027,0,10.0003,57.0908,-3.0063,-21.6689,-8.7592,111.594,57.0908,20.6606,0,7.2513,60.5098,-8.6997,-8.5243,7.8313,111.594,60.5098,
49,28.6877,0,10.0004,56.2348,-3.1856,-22.2839,-8.6885,111.594,56.2348,20.644,0,7.9093,60.9363,-7.2301,-8.7478,7.2385,111.594,60.9363,
50,29.0463,0,9.682,56.9101,-2.8286,-21.7369,-9.0875,111.594,56.9101,21.1841,0,7.7958,62.6415,-6.1691,-8.4254,6.7609,111.594,62.6415,
51,29.8927,0,8.7897,57.9076,-2.5685,-20.6938,-9.88,111.594,57.9076,20.8737,0,8.4538,64.1503,-4.8139,-8.306,5.6016,111.594,64.1503,
52,30.9398,0,7.8684,57.805,-2.2463,-20.0528,-10.5775,111.594,57.805,19.7432,0,9.5709,64.1779,-3.4239,-8.6043,4.4454,111.594,64.1779,
53,31.5784,0,7.8206,57.1564,-1.6952,-19.9857,-10.9523,111.594,57.1564,18.9269,0,10.1056,64.001,-2.2478,-9.3796,3.8876,111.594,64.001,
54,31.5475,0,8.7749,57.2371,-1.4773,-20.5224,-10.7605,111.594,57.2371,19.0263,0,10.1687,64.1483,-1.1697,-10.5413,4.0011,111.594,64.1483,
55,31.1653,0,9.7641,58.0149,-1.6597,-21.4682,-9.7685,111.594,58.0149,19.8308,0,10.0792,63.7924,-0.1737,-12.092,4.8907,111.594,63.7924,
56,31.1149,0,10.1482,57.5354,-1.992,-21.9651,-8.8034,111.594,57.5354,20.3227,0,10.0086,62.53,0.8204,-13.7749,5.7582,111.594,62.53,
57,31.6121,0,9.7975,56.6508,-2.2413,-21.4226,-8.6395,111.594,56.6508,19.9883,0,9.9863,61.7816,1.507,-14.4435,5.3522,111.594,61.7816,
58,32.0621,0,9.0398,57.1377,-2.1916,-20.7616,-8.8306,111.594,57.1377,19.4955,0,9.8461,62.5819,1.4264,-14.1264,3.8399,111.594,62.5819,
