frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
32,-7.1643,-29.2638,15.1148,88.7275,71.3139,-2.4592,2.2609,5.7231,71.3139,8.405,30.2949,-0.8814,61.6394,65.167,-3.1917,-2.1809,-4.3601,65.167,
33,-9.3775,-30.7969,18.0732,89.5342,74.1668,-4.6114,2.4654,4.4858,74.1668,8.4129,23.9202,-3.2166,60.8589,64.6549,-3.7638,-2.6287,-3.9017,64.6549,
34,-14.9041,-35.9369,22.5733,89.8378,76.7841,-6.5131,2.78,3.8556,76.7841,7.6032,22.7131,-2.7978,60.9749,63.915,-4.4024,-2.9823,-3.6232,63.915,
35,-17.3227,-35.903,23.4922,89.4983,79.9123,-7.4819,3.8247,5.0519,79.9123,4.0457,28.5006,-4.8529,62.2136,64.1414,-6.4999,-2.7232,-4.068,64.1414,
36,-16.8237,-38.5103,20.7121,89.1332,82.6014,-8.5423,5.3776,6.5409,82.6014,-0.7408,34.4011,-8.8837,65.2384,65.0197,-10.5571,-2.5147,-4.6593,65.0197,
37,-16.9859,-42.6198,20.3142,88.0423,84.0929,-7.5054,4.9823,6.4084,84.0929,-2.3586,35.1657,-10.6804,72.9358,64.2738,-11.0122,-2.695,-4.6569,64.2738,
38,-20.4321,-43.4115,24.1542,85.6734,84.859,-5.8258,3.5284,4.7055,84.859,-2.9239,35.7929,-11.2963,85.8576,60.831,-8.5476,-3.1871,-4.0007,60.831,
39,-25.1875,-44.6053,28.1645,83.2853,79.1501,-5.9626,2.9302,3.1663,79.1501,-5.7503,38.9608,-13.7447,98.1943,54.6946,-7.1406,-3.6674,-3.3502,54.6946,
40,-27.8035,-47.2723,30.5394,73.8846,66.4544,-8.3283,2.9088,2.7368,66.4544,-8.84,41.0764,-16.9321,106.712,47.3082,-6.8331,-3.859,-3.1236,47.3082,
41,-29.3844,-49.7549,33.0599,60.6663,60.2239,-11.7248,4.0634,3.4966,60.2239,-9.8256,42.478,-19.6697,106.268,40.8859,-6.6512,-3.746,-3.3381,40.8859,
42,-29.4156,-50.7989,34.9906,59.7883,61.6366,-14.2969,6.8453,5.2461,61.6366,-8.1323,46.2041,-20.6238,99.6195,34.7334,-6.3272,-3.4584,-3.9242,34.7334,
43,-27.4076,-51.2715,35.303,59.8933,60.7023,-15.4544,9.1939,6.707,60.7023,-5.0712,50.8142,-19.6251,101.335,29.1597,-7.0629,-3.4294,-4.4534,29.1597,
44,-27.0037,-52.3578,36.0252,52.2564,53.8229,-15.5249,9.8263,7.1671,53.8229,-2.6614,54.2504,-18.7347,106.945,29.5737,-9.4155,-3.7705,-4.6325,29.5737,
45,-28.9042,-53.5233,37.6165,55.1285,42.4164,-15.2355,9.7224,7.109,42.4164,-1.7613,57.3585,-18.694,103.137,31.4651,-11.7038,-3.9572,-4.5761,31.4651,
46,-29.8654,-52.7343,37.1484,68.3607,33.9197,-14.79,9.0311,6.9261,33.9197,-1.578,59.9478,-18.9866,95.9995,27.2462,-12.7019,-3.8543,-4.4514,27.2462,
47,-28.4062,-49.8335,34.0594,72.3864,37.6299,-14.1199,7.0722,6.6991,37.6299,-1.3025,61.4078,-18.9261,98.6751,21.1967,-12.843,-3.7512,-4.3506,21.1967,
48,-24.2842,-45.8071,29.9386,67.6614,46.4729,-12.9823,4.3872,6.3843,46.4729,-0.8879,62.4314,-18.5332,106.322,20.0775,-11.596,-3.4744,-4.2505,20.0775,
49,-19.8722,-41.5344,25.8095,49.8368,47.8862,-11.686,2.4257,6.0526,47.8862,0.2637,63.2026,-17.5076,107.786,26.4161,-8.8537,-2.9954,-4.1293,26.4161,
50,-18.4728,-39.4826,23.7082,28.6894,47.9848,-11.4225,1.9431,5.9597,47.9848,2.094,63.9303,-15.7298,103.892,33.9094,-7.4879,-2.7396,-4.0798,33.9094,
51,-18.9717,-39.063,23.2908,26.5627,51.3014,-12.0401,2.3677,6.1036,51.3014,3.3106,64.8575,-14.4908,101.443,35.6156,-8.9593,-2.7738,-4.1309,35.6156,
52,-19.1649,-38.0945,22.7686,35.842,55.6252,-12.2334,2.6872,6.217,55.6252,3.3334,65.0984,-14.475,100.738,36.5599,-10.6443,-2.8142,-4.1919,36.5599,
53,-18.6752,-37.5944,22.1694,38.7598,61.1538,-11.9727,2.6261,6.208,61.1538,2.3596,64.1229,-15.4679,96.6252,41.1683,-10.2644,-2.7799,-4.1983,41.1683,
54,-17.5283,-37.1434,20.961,38.0642,66.1071,-11.7971,2.4093,6.1501,66.1071,1.4199,63.4878,-16.2682,89.3451,45.4566,-9.0374,-2.7646,-4.1642,45.4566,
55,-16.2165,-35.4948,19.3021,38.6676,70.6559,-11.8101,2.2915,6.1338,70.6559,1.4247,64.0949,-15.9474,82.4371,48.4136,-9.4133,-2.8311,-4.1513,48.4136,
56,-16.1163,-34.0879,19.0573,40.6023,72.9411,-11.9416,2.3844,6.1808,72.9411,1.744,64.8258,-15.4315,76.5346,51.4865,-10.9158,-3.0197,-4.1822,51.4865,
57,-17.2316,-33.5435,19.9007,43.4233,72.6623,-10.7663,2.6425,5.7955,72.6623,1.707,65.1427,-15.3776,71.072,53.9106,-10.9586,-3.3147,-4.0767,53.9106,
58,-17.9274,-32.5765,20.0476,47.6907,73.8623,-7.3269,2.9457,4.6789,73.8623,1.3276,65.4971,-15.4726,65.8083,55.7421,-8.8487,-3.5941,-3.7225,55.7421,
