frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
10,-1.8822,7.6389,0.1283,0,99.7049,66.198,139.117,0,0,0,99.7049,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,5.5889,4.8601,-0.9811,3.26213,35.7281,0,0,0,35.7281,0,-26.7653,10.4637,10.2659,0,0,0,0,14.0707,96.6539,48.7992,45.5129,49.6301,96.6539,55.2191,-10.5407,64.5679,1.1867,55.2191,62.6191,-11.6149,-3.0002,-4.1556,62.6191,0,0,0,14.0707,96.6539,35.2739,-7.0828,-90.8009,96.6539,65.5469,-34.3028,-65.6811,26.9248,65.5469,44.3217,-12.5196,2.6929,6.1738,44.3217,0,0,0,139.117,111.594,0.2502,-1.1337,-0.1528,111.594,53.5559,13.0827,0,4.0676,53.5559,29.4612,0,0,0,29.4612,0,0,0,66.198,111.594,0.0153,-3.1322,-3.8739,111.594,55.5185,17.2738,0,-8.0741,55.5185,39.5809,0,0,0,39.5809,
11,-2.1591,8.0941,0.0176,0,100.336,66.8971,139.047,0,0,0,100.336,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,5.4818,4.7104,-1.4741,3.26219,34.8845,0,0,0,34.8845,0,-26.8413,9.5966,12.3003,0,0,0,0,14.0707,96.6539,47.5919,46.0616,47.5062,96.6539,55.2982,-9.8157,66.3308,-0.8055,55.2982,63.1204,-11.4979,-3.1893,-4.1982,63.1204,0,0,0,14.0707,96.6539,34.6506,-7.2472,-90.7197,96.6539,65.6525,-32.1096,-65.2641,25.9621,65.6525,42.9464,-12.3788,2.8597,6.2232,42.9464,0,0,0,139.047,111.594,0.5281,-1.5039,-0.0364,111.594,52.6133,14.8269,0,5.5226,52.6133,29.8915,0,0,0,29.8915,0,0,0,66.8971,111.594,0.4301,-3.0039,-3.9209,111.594,55.7248,18.4756,0,-8.5492,55.7248,39.6051,0,0,0,39.6051,
12,-2.5671,9.1988,0.2235,0,100.892,67.8845,138.578,0,0,0,100.892,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,5.1465,5.135,-1.4003,3.26213,30.9555,0,0,0,30.9555,0,-26.638,8.7263,10.1228,0,0,0,0,14.0707,96.6539,45.5644,44.6053,47.1664,96.6539,54.6361,-9.2286,68.4502,-0.6954,54.6361,63.4205,-10.5541,-3.172,-4.1845,63.4205,0,0,0,14.0707,96.6539,36.2259,-6.1419,-90.9719,96.6539,66.0546,-32.592,-63.011,23.7397,66.0546,43.4011,-11.9016,2.8011,6.1538,43.4011,0,0,0,138.578,111.594,0.2355,-1.263,-0.3386,111.594,51.8953,16.8441,0,6.5326,51.8953,29.5743,0,0,0,29.5743,0,0,0,67.8845,111.594,0.3886,-2.4878,-4.2737,111.594,55.9558,20.1364,0,-8.6728,55.9558,40.0201,0,0,0,40.0201,
13,-3.1542,9.4056,0.7649,0,101.181,68.355,138.375,0,0,0,101.181,0.35882,0,0,0,0.35882,14.0707,3.26213,14.0707,4.5846,5.5796,-1.1841,3.26213,27.735,0,0,0,27.735,0,-25.9617,9.3141,7.5019,0,0,0,0,14.0707,96.6539,45.8339,44.3247,45.8121,96.6539,53.5775,-8.7339,68.3386,0.7632,53.5775,63.8866,-9.0604,-2.9137,-4.0984,63.8866,0,0,0,14.0707,96.6539,36.7734,-4.4814,-91.909,96.6539,65.976,-33.8096,-60.0784,20.9929,65.976,42.9088,-11.1234,2.3966,5.9082,42.9088,0,0,0,138.375,111.594,-0.5663,-0.4423,-0.6545,111.594,51.8889,18.5857,0,6.3227,51.8889,29.0699,0,0,0,29.0699,0,0,0,68.355,111.594,-0.7199,-2.6608,-5.1176,111.594,55.9322,22.2761,0,-8.3219,55.9322,40.3254,0,0,0,40.3254,
14,-3.5601,9.471,1.1985,0,2.02497,63.8523,63.8523,0,0,0,2.02497,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,4.2896,5.7815,-0.7075,3.26213,22.0076,0,0,0,22.0076,0,-25.3773,10.53,5.8309,0,0,0,0,14.0707,96.6539,46.9278,44.5261,44.1465,96.6539,12.2161,-7.6066,67.3806,2.0603,12.2161,4.41557,-8.3757,-2.7078,-4.0071,4.41557,0,0,0,14.0707,96.6539,36.6039,-3.385,-92.3298,96.6539,12.2161,-34.0765,-57.0552,17.8661,12.2161,4.41557,-10.3314,1.9471,5.6242,4.41557,0,0,0,63.8523,111.594,-1.6196,0.412,-0.5202,111.594,53.2633,19.027,0,5.45,53.2633,7.66959,0,0,0,7.66959,0,0,0,63.8523,111.594,-1.8816,-3.0211,-6.0347,111.594,53.2633,23.8098,0,-6.8549,53.2633,7.66959,0,0,0,7.66959,
15,-3.704,10.0534,1.4118,0,2.02497,63.8523,63.8523,0,0,0,2.02497,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,4.2311,5.817,-0.1108,3.26213,22.0076,0,0,0,22.0076,0,-25.1046,10.8461,4.7632,0,0,0,0,14.0707,96.6539,46.4248,43.9819,43.3805,96.6539,12.2161,-6.4228,67.2839,2.8053,12.2161,4.41557,-8.4685,-2.6425,-3.9443,4.41557,0,0,0,14.0707,96.6539,37.6316,-2.556,-92.5825,96.6539,12.2161,-34.1383,-54.3815,15.2537,12.2161,4.41557,-9.8641,1.7307,5.4565,4.41557,0,0,0,63.8523,111.594,-3.0834,0.5999,0.3194,111.594,53.2633,18.9335,0,4.4552,53.2633,7.66959,0,0,0,7.66959,0,0,0,63.8523,111.594,-2.5917,-3.3741,-7.2039,111.594,53.2633,24.8093,0,-5.2538,53.2633,7.66959,0,0,0,7.66959,
16,-3.8349,10.245,1.564,0,2.02497,63.8523,63.8523,0,0,0,2.02497,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,4.1874,5.7734,0.0212,3.26213,22.0076,0,0,0,22.0076,0,-25.0549,10.8208,5.0392,0,0,0,0,14.0707,96.6539,44.4343,43.983,42.2773,96.6539,12.2161,-6.1508,67.4725,2.7299,12.2161,4.41557,-9.4561,-2.6679,-3.925,4.41557,0,0,0,14.0707,96.6539,39.0857,-3.4685,-93.1296,96.6539,12.2161,-33.633,-54.7274,15.7377,12.2161,4.41557,-9.881,1.8067,5.4453,4.41557,0,0,0,63.8523,111.594,-4.6924,0.2289,1.7518,111.594,53.2633,19.89,0,4.0022,53.2633,7.66959,0,0,0,7.66959,0,0,0,63.8523,111.594,-2.9765,-3.9853,-8.5511,111.594,53.2633,25.8018,0,-4.5953,53.2633,7.66959,0,0,0,7.66959,
17,-4.3857,10.0294,1.8175,0,101.079,100.407,105.038,0,0,0,101.079,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,4.2622,5.7637,-0.0658,3.26219,23.1818,0,0,0,23.1818,0,-25.4011,11.1134,6.0485,0,0,0,0,14.0707,96.6539,42.5009,43.8357,40.9519,96.6539,2.75413,-6.4086,67.6838,2.2795,2.75413,5.82423,-10.1124,-2.6982,-3.9216,5.82423,0,0,0,14.0707,96.6539,40.2628,-5.853,-93.4567,96.6539,7.7107,-32.4795,-57.249,18.2802,7.7107,9.94866,-10.0668,1.9793,5.4534,9.94866,0,0,0,105.038,111.594,-5.3753,0.2902,2.8372,111.594,53.1252,21.1499,0,3.4796,53.1252,8.63841,0,0,0,8.63841,0,0,0,100.407,111.594,-2.9723,-4.5326,-9.3747,111.594,52.83,26.6413,0,-4.0467,52.83,9.1115,0,0,0,9.1115,
18,-5.1234,10.3825,1.6873,0,100.544,100.059,104.945,0,0,0,100.544,0.359365,0,0,0,0.359365,14.0707,3.26219,14.0707,4.481,5.7812,-0.1818,3.26219,26.2529,0,0,0,26.2529,0,-25.9199,11.4302,6.9203,0,0,0,0,14.0707,96.6539,41.086,43.1206,40.1173,96.6539,38.588,-6.0614,67.7898,2.68,38.588,25.6269,-9.6031,-2.7173,-3.9169,25.6269,0,0,0,14.0707,96.6539,41.6296,-7.6588,-93.5469,96.6539,39.7964,-31.9271,-59.3651,20.4503,39.7964,38.7242,-10.4183,2.1125,5.4555,38.7242,0,0,0,104.945,111.594,-5.378,0.6897,3.4357,111.594,52.9028,21.8082,0,2.2951,52.9028,11.4163,0,0,0,11.4163,0,0,0,100.059,111.594,-3.256,-5.0993,-9.7656,111.594,52.0799,27.6743,0,-2.3375,52.0799,13.9676,0,0,0,13.9676,
19,-5.3475,11.2292,0.9017,0,100.218,100.45,104.282,0,0,0,100.218,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,4.6674,5.0026,-0.6858,3.26219,28.9352,0,0,0,28.9352,0,-26.0612,10.6975,7.996,0,0,0,0,14.0707,96.6539,40.0819,43.2084,39.5311,96.6539,77.3002,-5.5528,67.3599,3.4148,77.3002,43.8705,-9.1087,-2.7343,-3.9158,43.8705,0,0,0,14.0707,96.6539,43.2843,-8.9056,-93.4928,96.6539,74.1921,-31.7274,-61.2904,22.1856,74.1921,68.4243,-11.172,2.2603,5.5357,68.4243,0,0,0,104.282,111.594,-6.0243,0.7444,3.72,111.594,52.8212,22.3352,0,1.3397,52.8212,14.3311,0,0,0,14.3311,0,0,0,100.45,111.594,-4.5479,-5.6185,-10.6408,111.594,51.9316,28.9823,0,-0.5902,51.9316,19.6973,0,0,0,19.6973,
20,-5.3354,11.8045,0.3985,0,100.37,100.033,104.827,0,0,0,100.37,0.35882,0,0,0,0.35882,14.0707,3.26207,14.0707,5.1049,4.0061,-0.7978,3.26207,29.942,0,0,0,29.942,0,-25.792,9.2679,6.3195,0,0,0,0,14.0707,96.6539,40.0788,43.6739,39.215,96.6539,90.9144,-5.3109,66.6704,3.9578,90.9144,51.4014,-9.0952,-2.969,-3.9656,51.4014,0,0,0,14.0707,96.6539,44.0062,-9.8967,-93.1393,96.6539,86.6566,-30.6884,-63.4366,23.7678,86.6566,82.0643,-12.0175,2.4479,5.6848,82.0643,0,0,0,104.827,111.594,-6.6311,0.5687,3.6674,111.594,52.6668,22.9568,0,1.38,52.6668,15.5936,0,0,0,15.5936,0,0,0,100.033,111.594,-5.3992,-5.5166,-11.4892,111.594,52.0291,29.4123,0,-0.6473,52.0291,22.2819,0,0,0,22.2819,
21,-5.1222,12.2884,0.5806,0,100.626,97.7307,107.356,0,0,0,100.626,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,5.6713,4.1909,-0.0709,3.26225,29.9431,0,0,0,29.9431,0,-25.546,9.1163,2.1591,0,0,0,0,14.0707,96.6539,41.325,44.404,39.4415,96.6539,87.2759,-4.4155,66.9315,4.5293,87.2759,55.4822,-10.2679,-3.5896,-4.1574,55.4822,0,0,0,14.0707,96.6539,42.7263,-10.8,-92.4327,96.6539,85.2964,-29.945,-65.9905,25.5271,85.2964,86.1354,-13.0085,3.0289,6.0131,86.1354,0,0,0,107.356,111.594,-6.5732,0.0554,3.6141,111.594,52.6076,23.687,0,2.3011,52.6076,15.6691,0,0,0,15.6691,0,0,0,97.7307,111.594,-4.982,-5.6963,-11.0923,111.594,51.8296,29.2323,0,-0.904,51.8296,21.7673,0,0,0,21.7673,
22,-4.4569,13.211,0.4028,0,100.611,95.1356,109.964,0,0,0,100.611,0.359909,0,0,0,0.359909,14.0707,3.26231,14.0707,5.4421,3.884,-0.0481,3.26231,29.0712,0,0,0,29.0712,0,-25.9932,8.5975,2.0454,0,0,0,0,14.0707,96.6539,42.6699,46.095,40.7419,96.6539,80.0803,-3.8611,67.7889,4.3391,80.0803,58.6608,-11.6282,-3.9925,-4.3925,58.6608,0,0,0,14.0707,96.6539,40.4754,-12.4148,-91.4967,96.6539,82.6216,-30.1027,-68.1958,26.5895,82.6216,85.7451,-13.9094,4.6458,6.4694,85.7451,0,0,0,109.964,111.594,-6.6017,-0.9138,4.048,111.594,52.8939,24.098,0,3.5145,52.8939,16.6081,0,0,0,16.6081,0,0,0,95.1356,111.594,-4.8538,-7.1374,-10.0802,111.594,51.9917,30.2729,0,1.1183,51.9917,21.6088,0,0,0,21.6088,
23,-3.9577,14.4995,-0.6394,0,100.281,93.7447,111.096,0,0,0,100.281,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,5.5784,3.4666,-0.2697,3.26231,28.0381,0,0,0,28.0381,0,-27.1545,7.9726,2.3254,0,0,0,0,14.0707,96.6539,45.5556,49.9306,44.658,96.6539,76.2651,-3.4089,67.0033,3.7409,76.2651,60.9018,-12.2495,-4.0513,-4.5536,60.9018,0,0,0,14.0707,96.6539,37.5647,-14.1409,-90.0009,96.6539,83.6519,-30.9251,-69.2735,26.9029,83.6519,83.7155,-14.4575,6.5042,6.8462,83.7155,0,0,0,111.096,111.594,-6.7493,-1.9741,5.1115,111.594,53.1497,23.9387,0,4.5524,53.1497,19.0078,0,0,0,19.0078,0,0,0,93.7447,111.594,-5.0253,-8.5763,-9.2191,111.594,52.8499,31.7779,0,3.287,52.8499,23.9461,0,0,0,23.9461,
24,-3.8514,16.4015,-1.5902,0,99.9135,93.6635,110.868,0,0,0,99.9135,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,7.2782,4.3466,1.1069,3.26219,27.6391,0,0,0,27.6391,0,-25.7208,9.0053,-2.6708,0,0,0,0,14.0707,96.6539,50.6408,56.2725,51.0412,96.6539,74.8139,-0.3514,63.5451,3.2606,74.8139,62.3145,-12.0999,-4.1734,-4.4247,62.3145,0,0,0,14.0707,96.6539,32.8262,-15.5949,-87.9017,96.6539,85.1267,-32.9674,-68.9698,27.2334,85.1267,82.2282,-13.8642,6.5023,6.3754,82.2282,0,0,0,110.868,111.594,-6.6936,-2.491,6.0495,111.594,53.0131,24.0973,0,5.1189,53.0131,21.2787,0,0,0,21.2787,0,0,0,93.6635,111.594,-4.281,-8.8747,-8.8522,111.594,53.3498,33.0396,0,4.3247,53.3498,26.4039,0,0,0,26.4039,
25,-4.1449,18.9234,-2.6018,0,99.7035,93.108,111.254,0,0,0,99.7035,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,8.2553,3.6903,1.4745,3.26213,27.5779,0,0,0,27.5779,0,-19.7154,7.4259,-2.3672,0,0,0,0,14.0707,96.6539,52.5004,63.1607,57.7501,96.6539,72.9286,4.3603,57.4911,2.2728,72.9286,64.4392,-10.5873,-4.1113,-3.8619,64.4392,0,0,0,14.0707,96.6539,30.62,-14.4857,-86.4346,96.6539,85.0579,-31.8795,-65.1121,24.4025,85.0579,80.3736,-11.3662,4.7906,4.6471,80.3736,0,0,0,111.254,111.594,-6.4163,-2.8744,6.8611,111.594,52.7348,25.0117,0,5.9764,52.7348,23.3242,0,0,0,23.3242,0,0,0,93.108,111.594,-2.21,-10.9292,-7.1289,111.594,52.938,35.9358,0,6.4335,52.938,27.684,0,0,0,27.684,
26,-4.3638,19.7869,-4.7552,0,99.3755,91.9566,112.142,0,0,0,99.3755,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,7.4213,1.0374,-1.214,3.26213,27.2391,0,0,0,27.2391,0,-13.8953,2.1216,8.254,0,0,0,0,14.0707,96.6539,49.1949,69.5854,64.182,96.6539,70.6753,7.6371,50.2483,1.5279,70.6753,66.485,-9.1899,-3.8818,-3.3405,66.485,0,0,0,14.0707,96.6539,29.1565,-15.5154,-76.6516,96.6539,84.95,-24.3089,-58.5067,17.7047,84.95,77.062,-8.1104,3.3476,3.2833,77.062,0,0,0,112.142,111.594,-6.3666,-4.1639,7.963,111.594,53.0284,25.9566,0,7.5206,53.0284,25.5311,0,0,0,25.5311,0,0,0,91.9566,111.594,-0.4939,-15.1156,-3.6674,111.594,52.999,38.6547,0,8.8579,52.999,29.2824,0,0,0,29.2824,
27,-4.079,19.4947,-6.5792,0,98.7804,91.4815,112.114,0,0,0,98.7804,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,6.3866,-1.0811,-3.7273,3.26225,26.6593,0,0,0,26.6593,0,-11.4485,-2.5574,16.7772,0,0,0,0,14.0707,96.6539,46.6228,72.4891,62.6347,96.6539,69.3324,8.192,43.2698,5.4339,69.3324,66.0769,-8.4845,-3.7618,-3.1985,66.0769,0,0,0,14.0707,96.6539,23.0827,-22.8322,-61.3771,96.6539,85.138,-19.0376,-55.4116,14.3184,85.138,72.9323,-6.774,2.8642,3.2209,72.9323,0,0,0,112.114,111.594,-6.5224,-5.0182,7.2315,111.594,53.8325,25.658,0,8.638,53.8325,27.1443,0,0,0,27.1443,0,0,0,91.4815,111.594,-1.5292,-15.7432,-3.1304,111.594,54.1586,37.1286,0,9.9006,54.1586,31.2061,0,0,0,31.2061,
